Date,Management Unit,County,Sex,Age,Status,Weight,Length,,,
11/13/90,Melrose,Douglas,F,1,A,73,64,,,
11/17/90,Powers,Coos,F,1,A,73,69,,,
11/17/90,Dixon,Douglas,M,3,A,110,81,,,
11/18/90,Starkey,Union,M,3,A,123,84,,,
11/19/90,Chesnimnus,Wallowa,F,3,A,72,68,,,
11/20/90,McKenzie,Linn,M,3,A,120,84,,,
11/20/90,Dixon,Jackson,M,6,A,134,84,,,
11/21/90,Rogue,Jackson,M,0,A,60,64,,,
11/24/90,Indigo,Lane,F,1,A,75,76,,,
11/24/90,Indigo,Douglas,F,3,C,,87,,,
11/27/90,Dixon,Douglas,M,5,A,136,86,,,
11/30/90,Indigo,Lane,M,5,C,,86,,,
12/2/90,Dixon,Douglas,F,4,A,74,72,,,
12/2/90,McKenzie,Linn,M,2,A,101,78,,,
12/3/90,White River,Hood River,F,3,B,77,,,,
12/3/90,Wenaha,Wallowa,F,16,C,,69,,,
12/3/90,Pine Creek,Baker,F,4,A,70,72,,,
12/3/90,Catherine Creek,Union,F,2,A,73,72,,,
12/3/90,Catherine Creek,Union,F,5,A,92,72,,,
12/3/90,Lookout Mtn,Baker,F,4,A,73,73,,,
12/3/90,Mt Emily,Umatilla,F,6,A,85,75,,,
12/3/90,Imnaha,Wallowa,M,3,B,110,75,,,
12/3/90,Sled Springs,Wallowa,M,5,A,127,78,,,
12/3/90,Keating,Baker,M,2,A,116,79,,,
12/3/90,Wenaha,Union,M,5,A,136,80,,,
12/3/90,Sled Springs,Wallowa,M,1,A,103,81,,,
12/4/90,Pine Creek,Baker,F,3,B,69,71,,,
12/4/90,Snake River,Wallowa,F,4,A,104,74,,,
12/4/90,Keating,Baker,M,5,A,120,77,,,
12/4/90,Keating,Baker,M,4,A,135,83,,,
12/4/90,Catherine Creek,Union,M,5,A,151,84,,,
12/5/90,Pine Creek,Baker,M,3,A,128,81,,,
12/5/90,Snake River,Wallowa,M,5,A,147,85,,,
12/5/90,McKenzie,Lane,M,5,A,150,87,,,
12/6/90,Sled Springs,Wallowa,F,3,B,100,78,,,
12/6/90,Sled Springs,Wallowa,M,3,A,83,81,,,
12/6/90,Mt Emily,Union,M,7,A,135,82,,,
12/7/90,Chesnimnus,Wallowa,M,5,A,122,77,,,
12/8/90,Wenaha,Union,M,3,A,99,76,,,
12/8/90,Mt Emily,Umatilla,M,3,A,125,77,,,
12/8/90,Keating,Baker,M,4,A,128,80,,,
12/9/90,Pine Creek,Baker,M,4,A,138,81,,,
12/11/90,Indigo,Douglas,F,1,A,63,66,,,
12/11/90,Chetco,Josephine,M,3,A,98,76,,,
12/11/90,Snake River,Wallowa,M,6,A,138,84,,,
12/12/90,Wenaha,Union,F,4,A,79,69,,,
12/12/90,Imnaha,Wallowa,M,4,A,152,77,,,
12/12/90,Dixon,Douglas,M,6,A,122,81,,,
12/12/90,Dixon,Douglas,M,6,A,152,84,,,
12/14/90,McKenzie,Lane,F,2,A,78,,,,
12/14/90,Dixon,Douglas,F,1,A,66,72,,,
12/14/90,Dixon,Jackson,M,3,A,130,80,,,
12/14/90,McKenzie,Linn,M,3,A,138,81,,,
12/14/90,Lookout Mtn,Baker,M,4,A,152,83,,,
12/14/90,Powers,Curry,M,3,A,125,84,,,
12/14/90,Rogue,Jackson,M,4,A,140,86,,,
12/15/90,Wagontire,Lake,F,1,A,66,,,,
12/15/90,Sled Springs,Wallowa,M,2,A,108,78,,,
12/15/90,Tioga,Douglas,M,3,A,105,82,,,
12/15/90,Dixon,Douglas,M,6,A,126,82,,,
12/15/90,Dixon,Douglas,M,2,A,118,84,,,
12/15/90,Lookout Mtn,Baker,M,6,A,150,84,,,
12/15/90,Catherine Creek,Union,M,2,A,133,84,,,
12/15/90,Rogue,Jackson,M,6,A,157,99,,,
12/16/90,Mt Emily,Umatilla,F,12,A,79,75,,,
12/16/90,Minam,Wallowa,M,4,A,141,80,,,
12/16/90,Sumpter,Baker,M,6,A,142,86,,,
12/17/90,Sled Springs,Wallowa,F,1,A,88,70,,,
12/17/90,Mt Emily,Umatilla,M,5,A,130,83,,,
12/18/90,McKenzie,Lane,M,0,A,68,65,,,
12/18/90,Lookout Mtn,Baker,M,2,A,92,72,,,
12/19/90,Minam,Wallowa,M,0,A,70,66,,,
12/19/90,Applegate,Jackson,F,6,A,75,70,,,
12/19/90,Wenaha,Wallowa,F,4,A,78,74,,,
12/19/90,Indigo,Douglas,M,2,A,100,75,,,
12/19/90,McKenzie,Lane,M,5,A,140,84,,,
12/19/90,Wenaha,Union,M,4,A,159,84,,,
12/20/90,Sled Springs,Wallowa,F,5,A,85,76,,,
12/20/90,Dixon,Douglas,M,2,A,90,77,,,
12/21/90,Applegate,Jackson,F,3,A,65,71,,,
12/21/90,Walla Walla,Umatilla,F,11,A,100,71,,,
12/21/90,Dixon,Douglas,M,4,A,91,74,,,
12/21/90,Indigo,Douglas,M,5,A,125,84,,,
12/21/90,Chesnimnus,Wallowa,M,11,A,136,84,,,
12/22/90,McKenzie,Lane,F,1,A,83,74,,,
12/22/90,Dixon,Douglas,F,4,A,85,74,,,
12/22/90,Walla Walla,Umatilla,F,3,A,78,75,,,
12/22/90,McKenzie,Lane,M,6,A,155,88,,,
12/23/90,Mt Emily,Umatilla,F,10,A,95,76,,,
12/24/90,Dixon,Douglas,F,2,A,74,76,,,
12/24/90,Applegate,Jackson,M,3,c,,77,,,
12/24/90,Dixon,Douglas,M,5,A,159,82,,,
12/24/90,Catherine Creek,Union,M,8,C,,82,,,
12/24/90,McKenzie,Lane,M,5,C,,98,,,
